CPT Code,State,5th %ile,10th %ile,25th %ile,50th %ile,75th %ile,90th %ile,95th %ile
97158,NV,$13.61,$14.01,$14.01,$14.36,$14.56,$15.29,$15.79
97158,NY,$15.17,$15.40,$16.49,$18.44,$19.44,$19.44,$20.28
97158,OH,$8.32,$8.32,$8.32,$10.43,$15.46,$17.72,$18.40
97158,OK,$13.76,$13.76,$13.76,$13.80,$14.48,$14.66,$14.66
97158,OR,$12.53,$12.53,$13.25,$13.59,$13.59,$15.59,$15.59
97158,PA,$13.64,$13.83,$14.59,$15.15,$16.36,$17.02,$17.82
97158,RI,$12.30,$13.53,$13.53,$13.96,$16.09,$16.81,$19.35
97158,SC,$12.45,$12.45,$13.61,$13.61,$14.94,$15.79,$15.79
97158,SD,$6.72,$6.72,$6.72,$12.89,$13.04,$14.23,$14.23
97158,TN,$12.52,$12.52,$12.52,$13.61,$15.46,$16.47,$17.72
97158,TX,$13.24,$13.24,$13.61,$14.10,$15.76,$16.67,$17.57
97158,UT,$11.57,$12.66,$13.53,$14.36,$14.95,$15.43,$15.85
97158,VA,$13.61,$13.61,$13.61,$13.61,$14.27,$16.18,$17.23
97158,VT,$16.66,$16.66,$16.66,$17.50,$17.50,$20.75,$21.25
97158,WA,$13.53,$13.61,$13.61,$14.02,$14.35,$16.47,$18.30
97158,WI,$12.53,$12.53,$12.61,$14.12,$14.32,$14.99,$16.13
97158,WV,$14.65,$14.65,$14.65,$14.65,$14.65,$14.65,$14.65
